bench,version,rep,total_rows,context_exhausted,empty_patch_context_exhausted,cliff_total,cliff_rate_pct,file
bfcl,v17,1,1240,0,0,0,0.0,acceptance/v17_taxonomy/bfcl_n1240.json
bfcl,v18,1,1240,0,0,0,0.0,acceptance/v18_taxonomy/bfcl_n1240.json
swebench,v17,1,75,0,4,4,5.33,acceptance/v17_taxonomy/swebench_n75.json
swebench,v18,1,75,0,4,4,5.33,acceptance/v18_taxonomy/swebench_n75.json
swebench,v19,1,75,0,3,3,4.0,acceptance/v19_taxonomy/full_stack_swebench_n75.json
swebench,v19,1,75,0,3,3,4.0,acceptance/v19_taxonomy/gate_only_swebench_n75.json
swebench,v110,1,75,0,3,3,4.0,acceptance/v110_taxonomy/v110_n75_full_stack_swebench.json
swebench,v1101,1,75,0,4,4,5.33,acceptance/v1101_taxonomy/v1101_n75_full_stack_swebench.json
swebench,v1102,1,75,0,4,4,5.33,acceptance/v1102_taxonomy/v1102_n75_full_stack_swebench.json
swebench,v1102,2,73,0,4,4,5.48,acceptance/v1102_taxonomy/v1102_n75_rep_2_full_stack_swebench.json
swebench,v1102,3,75,0,4,4,5.33,acceptance/v1102_taxonomy/v1102_n75_rep_3_full_stack_swebench.json
swebench,v1103,1,75,0,3,3,4.0,acceptance/v1103_taxonomy/v1103_n75_full_stack_swebench.json
swebench,v1103,2,75,0,4,4,5.33,acceptance/v1103_taxonomy/v1103_n75_rep_2_full_stack_swebench.json
swebench,v1103,3,75,0,4,4,5.33,acceptance/v1103_taxonomy/v1103_n75_rep_3_full_stack_swebench.json
swebench,v1104,1,75,0,4,4,5.33,acceptance/v1104_taxonomy/v1104_n75_full_stack_swebench.json
swebench,v1104,2,75,0,4,4,5.33,acceptance/v1104_taxonomy/v1104_n75_rep_2_full_stack_swebench.json
swebench,v1104,3,75,0,4,4,5.33,acceptance/v1104_taxonomy/v1104_n75_rep_3_full_stack_swebench.json
swebench,v1105,1,75,0,4,4,5.33,acceptance/v1105_taxonomy/v1105_n75_full_stack_swebench.json
swebench,v1105,2,75,0,4,4,5.33,acceptance/v1105_taxonomy/v1105_n75_rep_2_full_stack_swebench.json
swebench,v1105,3,75,0,4,4,5.33,acceptance/v1105_taxonomy/v1105_n75_rep_3_full_stack_swebench.json
swebench,v111,1,75,0,4,4,5.33,acceptance/v111_taxonomy/v111_n75_full_stack_swebench.json
swebench,v111,2,75,0,4,4,5.33,acceptance/v111_taxonomy/v111_n75_rep_2_full_stack_swebench.json
swebench,v111,3,75,0,4,4,5.33,acceptance/v111_taxonomy/v111_n75_rep_3_full_stack_swebench.json
