bench_scope,intervention,outcome,count
all,(none),PLAUSIBLE_EDIT,191
all,(none),EMPTY_PATCH_CONTEXT_EXHAUSTED,60
all,(none),STRONG_GOLD_MATCH,148
all,(none),WRONG_TARGET,82
all,(none),EMPTY_PATCH_TIMEOUT,62
all,(none),WRONG_LOCATION,24
all,(none),STUCK_LOOP,9
all,(none),CORRECT_ABSTAIN,457
all,(none),FORBIDDEN_TOOL_EMISSION,23
all,(none),SINGLE_TOOL_CORRECT,1076
all,(none),UNCLASSIFIED,124
all,(none),MULTI_TOOL_COMPLETE,682
all,(none),MULTI_TOOL_ORDERING_FAILURE,118
all,EARLY_BAIL,STRONG_GOLD_MATCH,219
all,EARLY_BAIL,PLAUSIBLE_EDIT,169
all,EARLY_BAIL,EMPTY_PATCH_CONTEXT_EXHAUSTED,20
all,EARLY_BAIL,STUCK_LOOP,29
all,EARLY_BAIL,WRONG_TARGET,251
all,EARLY_BAIL,EMPTY_PATCH_TIMEOUT,115
all,EARLY_BAIL,WRONG_LOCATION,58
all,ACTION_DENSITY_GATE,WRONG_TARGET,119
all,ACTION_DENSITY_GATE,EMPTY_PATCH_TIMEOUT,65
all,ACTION_DENSITY_GATE,PLAUSIBLE_EDIT,84
all,ACTION_DENSITY_GATE,STRONG_GOLD_MATCH,43
all,ACTION_DENSITY_GATE,WRONG_LOCATION,8
all,ACTION_DENSITY_GATE,STUCK_LOOP,6
all,WRITE_PRESSURE,WRONG_TARGET,75
all,WRITE_PRESSURE,WRONG_LOCATION,41
all,WRITE_PRESSURE,STUCK_LOOP,17
all,WRITE_PRESSURE,EMPTY_PATCH_TIMEOUT,84
all,WRITE_PRESSURE,STRONG_GOLD_MATCH,32
all,WRITE_PRESSURE,PLAUSIBLE_EDIT,10
swebench,(none),PLAUSIBLE_EDIT,191
swebench,(none),EMPTY_PATCH_CONTEXT_EXHAUSTED,60
swebench,(none),STRONG_GOLD_MATCH,148
swebench,(none),WRONG_TARGET,82
swebench,(none),EMPTY_PATCH_TIMEOUT,62
swebench,(none),WRONG_LOCATION,24
swebench,(none),STUCK_LOOP,9
swebench,EARLY_BAIL,STRONG_GOLD_MATCH,219
swebench,EARLY_BAIL,PLAUSIBLE_EDIT,169
swebench,EARLY_BAIL,EMPTY_PATCH_CONTEXT_EXHAUSTED,20
swebench,EARLY_BAIL,STUCK_LOOP,29
swebench,EARLY_BAIL,WRONG_TARGET,251
swebench,EARLY_BAIL,EMPTY_PATCH_TIMEOUT,115
swebench,EARLY_BAIL,WRONG_LOCATION,58
swebench,ACTION_DENSITY_GATE,WRONG_TARGET,119
swebench,ACTION_DENSITY_GATE,EMPTY_PATCH_TIMEOUT,65
swebench,ACTION_DENSITY_GATE,PLAUSIBLE_EDIT,84
swebench,ACTION_DENSITY_GATE,STRONG_GOLD_MATCH,43
swebench,ACTION_DENSITY_GATE,WRONG_LOCATION,8
swebench,ACTION_DENSITY_GATE,STUCK_LOOP,6
swebench,WRITE_PRESSURE,WRONG_TARGET,75
swebench,WRITE_PRESSURE,WRONG_LOCATION,41
swebench,WRITE_PRESSURE,STUCK_LOOP,17
swebench,WRITE_PRESSURE,EMPTY_PATCH_TIMEOUT,84
swebench,WRITE_PRESSURE,STRONG_GOLD_MATCH,32
swebench,WRITE_PRESSURE,PLAUSIBLE_EDIT,10
